"CLAY";"SILT";"SAND";"Gamma";"GWI";"DEM";"ERa"
22.4;34.9;42.7;1.45158410072327;3.66700005531311;94.370002746582;39.756103515625
15.6;61.7;22.7;1.59886050224304;5.13017129898071;95.5779647827148;30.8533744812012
21.3;35;43.7;1.39645206928253;3.18702363967896;94.4287414550781;43.713062286377
14;19.9;66.1;1.29541110992432;1.10620856285095;94.3649978637695;116.397506713867
23;33.1;43.9;1.5083122253418;3.15566778182983;94.3730010986328;47.6113815307617
19.1;61.1;19.8;1.6469007730484;4.42746543884277;94.9630126953125;36.8511772155762
23.5;37.8;38.7;1.41714060306549;2.94038081169128;94.4746627807617;48.1695899963379
18.7;25.8;55.5;1.46466064453125;4.87558126449585;93.6582870483398;30.7193374633789
20.1;29.2;50.7;1.35496091842651;1.54299998283386;94.3920135498047;87.7158660888672
